,企業名,URL,電話番号,電話番号と周辺情報
0,株式会社綜合キャリアオプション,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E7%B6%9C%E5%90%88%E3%82%AD%E3%83%A3%E3%83%AA%E3%82%A2%E3%82%AA%E3%83%97%E3%82%B7%E3%83%A7%E3%83%B3%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-6837-4510', 3), ('03-6634-4510', 2), ('03-6837-4511', 1), ('03-6634-4500', 1)]","['ですか？首都圏本部｜拠点詳細｜株式会社綜合キャリアオプション- ›  › TEL03-6634-4510 FAX03-6837-4511 E-M|||', '港区浜松町2-4-1 世界貿易センタービルディング南館 16階 本社電話番号, 03-6837-4510 創立, 1990年6月 設立, 200|||']"
1,エンワールド・ジャパン株式会社,https://www.google.com/search?q=%E3%82%A8%E3%83%B3%E3%83%AF%E3%83%BC%E3%83%AB%E3%83%89%E3%83%BB%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-4578-3500', 8)]",['会社 エンワールド・ジャパン株式会社 厚生労働大臣許可番号：13-ユ  TEL 03-4578-3500 エンジャパンサイト担当者 @ 関西エン|||']
2,ライクスタッフィング株式会社,https://www.google.com/search?q=%E3%83%A9%E3%82%A4%E3%82%AF%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%E3%82%A3%E3%83%B3%E3%82%B0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-5428-5577', 2), ('06-6364-6000', 2), ('022-263-0088', 1), ('022-263-0089', 1), ('03-5784-5522', 1), ('092-432-0515', 1), ('092-432-0510', 1), ('06-6364-6007', 1)]","['ライクスタッフィング株式会社 本社 〒150-0043 東京都渋谷区  TEL：092-432-0515 / FAX：092-432-0510 |||', 'ーンシップ・会社概要 - マイナビ ›  › 240808 › 本社電話番号, 03-5428-5577 第二本社郵便番号, 530-0017 |||', '京都渋谷区道玄坂一丁目12番1号渋谷マークシティウェスト17階 本社電話番号, 03-5428-5577 第二本社郵便番号, 530-0017 |||']"
3,セイハネットワーク株式会社,https://www.google.com/search?q=%E3%82%BB%E3%82%A4%E3%83%8F%E3%83%8D%E3%83%83%E3%83%88%E3%83%AF%E3%83%BC%E3%82%AF%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('092-263-5201', 3), ('03-5608-7860', 3), ('06-6446-6700', 1), ('06-6446-6767', 1)]","['ン › セイハネットワーク株式会社 東京本部（英会話教室・スクール）の電話番号は03-5608-7860、住所は東京都墨田区太平4丁目1−3、最|||', '福岡市博多区店屋町1-35 博多三井ビルディング2号館4F · 本社電話番号, 092-263-5201 · 第二本社郵便番号, 130-001|||', '会社 ›  › セイハネットワーク株式会社 個人情報保護事務局 宛 電話番号, 03-5608-7860 (平日10:00～17:00） 受付時|||']"
4,株式会社ヒト・コミュニケーションズ,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%92%E3%83%88%E3%83%BB%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%82%B1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%BA%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-5952-1111', 4), ('03-5952-1112', 2), ('03-5924-6075', 2), ('06-6456-1820', 1)]",[' 株式会社ヒト・コミュニケーションズ（人材派遣・紹介・代行サービス）の電話番号は03-5952-1111、住所は東京都豊島区東池袋1丁目9−6、|||']
5,株式会社ヒューマントラスト,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%92%E3%83%A5%E3%83%BC%E3%83%9E%E3%83%B3%E3%83%88%E3%83%A9%E3%82%B9%E3%83%88%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-6757-3900', 4), ('03-6757-3905', 2), ('06-6485-0560', 1), ('06-6485-0565', 1)]","['› 株式会社ヒューマントラスト 本社（人材派遣・紹介・代行サービス）の電話番号は03-6757-3900、住所は東京都千代田区丸の内1丁目6−5|||', ', 東京都豊島区東池袋3-1-1 サンシャイン60 21階 ; 本社電話番号, 03-6757-3900 ; 代表者, 代表取締役社長 阪本 昌|||']"
6,株式会社エスユーエス（人材）,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%A8%E3%82%B9%E3%83%A6%E3%83%BC%E3%82%A8%E3%82%B9%EF%BC%88%E4%BA%BA%E6%9D%90%EF%BC%89%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('075-229-6514', 3), ('075-229-6515', 2), ('06-6123-8256', 1), ('050-5536-6920', 1)]",[]
7,株式会社コンフィデンス・インターワークス（旧：株式会社コンフィデンス）,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B3%E3%83%B3%E3%83%95%E3%82%A3%E3%83%87%E3%83%B3%E3%82%B9%E3%83%BB%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E3%82%B9%EF%BC%88%E6%97%A7%EF%BC%9A%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B3%E3%83%B3%E3%83%95%E3%82%A3%E3%83%87%E3%83%B3%E3%82%B9%EF%BC%89%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-5312-7700', 7), ('03-6823-5406', 2), ('03-3539-1682', 2), ('03-5312-7703', 2)]",['45MG5FM EYSB0IK会社データ本社郵便番号160-0022本社電話番号03-5312-7700設立2014年8月資本金508百万円（2|||']
8,共同エンジニアリング株式会社（建築・東京都千代田区丸の内）,https://www.google.com/search?q=%E5%85%B1%E5%90%8C%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%8B%E3%82%A2%E3%83%AA%E3%83%B3%E3%82%B0%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%EF%BC%88%E5%BB%BA%E7%AF%89%E3%83%BB%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%E4%B8%B8%E3%81%AE%E5%86%85%EF%BC%89%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-3286-7878', 8), ('03-3286-7877', 4), ('03-3286-5055', 2), ('03-6281-5782', 1)]","['東京都千代田区丸の内1-8-3 丸の内トラストタワー本館17F 本社電話番号, 03-3286-7878 設立, 2002年3月20日 資本金,|||']"
9,株式会社リクルートメディカルキャリア,https://www.google.com/search?q=%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%83%AA%E3%82%AF%E3%83%AB%E3%83%BC%E3%83%88%E3%83%A1%E3%83%87%E3%82%A3%E3%82%AB%E3%83%AB%E3%82%AD%E3%83%A3%E3%83%AA%E3%82%A2%20%E9%9B%BB%E8%A9%B1%E7%95%AA%E5%8F%B7,"[('03-6705-9001', 1)]",[]
